roi_id,score,intensity_score,attention_score,num_nodes,num_edges,x,y,z
ROI_00,0.37175239622592926,0.31493332982063293,0.4285714626312256,3,4,324.0,554.0,28.0
ROI_01,0.33797499537467957,0.27595001459121704,0.3999999761581421,4,6,7.0,494.0,146.0
ROI_02,0.32979999482631683,0.15959998965263367,0.5,2,2,1083.0,272.0,84.0
ROI_03,0.32229405641555786,0.21601665019989014,0.4285714626312256,3,4,319.0,441.0,84.0
ROI_04,0.3068416714668274,0.280349999666214,0.3333333432674408,4,8,247.0,517.0,125.0
ROI_05,0.29401666671037674,0.21303333342075348,0.375,6,10,616.0,82.0,153.0
ROI_06,0.2900416702032089,0.24674999713897705,0.3333333432674408,4,8,1320.0,229.0,56.0
ROI_07,0.28171780705451965,0.2907083332538605,0.27272728085517883,6,16,374.0,467.0,130.0
