roi_id,score,intensity_score,attention_score,num_nodes,num_edges,x,y,z
B-cell infiltration_1_Score:0.736,0.7355500012636185,0.47110000252723694,1.0,1,0,324.0,554.0,28.0
B-cell infiltration_2_Score:0.666,0.6657499969005585,0.33149999380111694,1.0,1,0,820.0,286.0,88.0
B-cell infiltration_3_Score:0.651,0.6508499979972839,0.30169999599456787,1.0,1,0,676.0,435.0,86.0
B-cell infiltration_4_Score:0.432,0.4324750006198883,0.3649500012397766,0.5,2,2,1132.0,266.0,76.0
B-cell infiltration_5_Score:0.421,0.420912504196167,0.341825008392334,0.5,2,2,616.0,82.0,153.0
