roi_id,score,intensity_score,attention_score,num_nodes,num_edges,x,y,z
ROI_00,0.37601250410079956,0.2520250082015991,0.5,2,2,835.0,246.0,81.0
ROI_01,0.32881907373666763,0.22906668484210968,0.4285714626312256,3,4,1132.0,266.0,76.0
ROI_02,0.32653573155403137,0.22450000047683716,0.4285714626312256,3,4,294.0,579.0,104.0
ROI_03,0.32477501034736633,0.31621667742729187,0.3333333432674408,3,6,432.0,428.0,96.0
ROI_04,0.32366905361413956,0.21876664459705353,0.4285714626312256,3,4,941.0,228.0,87.0
ROI_05,0.32017499953508377,0.14034999907016754,0.5,2,2,1250.0,203.0,101.0
ROI_06,0.3153357282280922,0.2020999938249588,0.4285714626312256,3,4,425.0,432.0,149.0
ROI_07,0.3123476952314377,0.24007999897003174,0.38461539149284363,5,8,362.0,464.0,103.0
