cell_id,z,y,x,CD31,CD20,CD11b,CD4,CD11c,Catalase,marker
CD31_16,67,143,1291,0.3243,0.4063,0.2722,0.293,0.3182,0.4592,CD31
CD31_17,75,309,1026,0.3163,0.3088,0.2517,0.2234,0.2524,0.3018,CD31
CD31_18,65,101,1235,0.4131,0.4299,0.2582,0.3894,0.4179,0.4545,CD31
CD31_19,74,130,1159,0.3458,0.3432,0.2369,0.2916,0.2696,0.3107,CD31
CD31_2,68,163,1307,0.4143,0.3292,0.2479,0.2488,0.2832,0.331,CD31
CD31_20,71,363,879,0.4181,0.3778,0.2307,0.3394,0.2654,0.3516,CD31
CD31_21,69,415,528,0.305,0.4234,0.1956,0.2537,0.3102,0.4287,CD31
CD31_22,76,315,654,0.3427,0.3002,0.2502,0.2483,0.393,0.2907,CD31
CD31_23,69,344,892,0.3949,0.3563,0.2728,0.2569,0.3119,0.3497,CD31
CD31_24,70,368,820,0.2918,0.3645,0.254,0.2549,0.2842,0.4738,CD31
CD31_25,79,396,544,0.3302,0.2839,0.2124,0.1784,0.2402,0.3385,CD31
CD31_26,77,315,998,0.3936,0.628,0.2575,0.194,0.2168,0.5402,CD31
CD31_27,77,356,896,0.2961,0.3504,0.2347,0.2842,0.287,0.2846,CD31
CD31_28,67,264,714,0.4812,0.5475,0.3416,0.3554,0.3871,0.4111,CD31
CD31_29,70,265,1136,0.3918,0.3992,0.3412,0.344,0.3687,0.5827,CD31
CD31_3,65,214,865,0.3582,0.319,0.2051,0.2223,0.2932,0.3837,CD31
CD31_30,70,294,1053,0.4415,0.4554,0.3828,0.263,0.3163,0.4445,CD31
CD31_31,71,161,1220,0.4223,0.5747,0.4492,0.3826,0.4565,0.5057,CD31
CD31_32,67,168,1224,0.4107,0.3799,0.2747,0.3921,0.3489,0.4778,CD31
CD31_33,72,96,1225,0.4165,0.3566,0.2455,0.2676,0.2764,0.4561,CD31
CD31_34,73,419,528,0.3629,0.4059,0.2442,0.327,0.3388,0.5005,CD31
CD31_35,69,306,1055,0.4033,0.4021,1.0,0.3175,0.5525,0.3082,CD31
CD31_36,75,103,1209,0.3706,0.4471,0.2013,0.2982,0.3232,0.3839,CD31
CD31_37,82,138,1242,0.3703,0.4148,0.2909,0.2448,0.2275,0.2676,CD31
CD31_38,75,263,700,0.3023,0.3411,0.2649,0.2274,0.3301,0.2736,CD31
CD31_39,73,300,1063,0.5124,0.4228,0.3621,0.397,0.3132,0.643,CD31
CD31_4,75,304,1042,0.31,0.2485,0.2029,0.1565,0.2086,0.2807,CD31
