cell_id,z,y,x,CD31,CD20,CD11b,CD4,CD11c,Catalase,marker
CD11b_1,38,285,1087,0.0,0.6074,0.3491,0.4041,0.0,0.0,CD11b
CD11b_10,68,424,894,0.2745,0.4185,0.5066,0.3041,0.3614,0.333,CD11b
CD11b_11,59,432,911,0.3972,0.5698,0.3018,0.3694,0.37,0.5967,CD11b
CD11b_12,60,126,841,0.4148,0.3704,0.3089,0.333,0.3408,0.6726,CD11b
CD11b_13,68,122,851,0.2921,0.3929,0.3298,0.2708,0.2811,0.6436,CD11b
CD11b_14,68,206,673,0.2523,0.337,0.2949,0.321,0.2907,0.5843,CD11b
CD11b_15,65,127,845,0.3277,0.3791,0.3583,0.3697,0.285,0.6466,CD11b
CD11b_16,68,202,726,0.3319,0.4139,0.3082,0.4213,0.4801,0.5937,CD11b
CD11b_17,67,368,1002,0.2865,0.4231,0.3129,0.3613,0.4992,0.3393,CD11b
CD11b_18,69,244,682,0.4894,0.379,0.3632,0.2274,0.3725,0.5475,CD11b
CD11b_19,74,171,853,0.3603,0.3646,0.2736,0.3312,0.287,0.6023,CD11b
CD11b_2,50,355,387,0.3485,0.3311,0.5466,0.2879,0.3486,0.4598,CD11b
CD11b_20,68,188,863,0.2875,0.4415,0.3492,0.443,0.347,0.669,CD11b
CD11b_21,72,190,851,0.2512,0.3245,0.3249,0.2806,0.2599,0.4014,CD11b
CD11b_22,72,205,695,0.3558,0.3587,0.2926,0.3141,0.2958,0.6132,CD11b
CD11b_23,67,234,683,0.3715,0.36,0.5404,0.2737,0.3819,0.5768,CD11b
CD11b_24,70,181,755,0.3946,0.3882,0.4497,0.2727,0.3186,0.398,CD11b
CD11b_25,71,202,875,0.4646,0.5564,0.3353,0.3554,0.3821,0.6191,CD11b
CD11b_26,70,443,222,0.3816,0.419,0.3975,0.4739,0.3738,0.5161,CD11b
CD11b_27,75,672,334,0.2879,0.3009,0.3241,0.3345,0.2463,0.5393,CD11b
CD11b_28,73,133,1019,0.3293,0.4143,0.3367,0.3587,0.3637,0.6473,CD11b
CD11b_29,73,310,653,0.3276,0.3837,0.3697,0.3826,0.3833,0.2838,CD11b
CD11b_3,84,272,1083,0.3168,0.2688,0.3696,0.1974,0.2673,0.299,CD11b
CD11b_30,74,431,529,0.4056,0.3498,0.4436,0.3203,0.4626,0.4932,CD11b
CD11b_31,76,417,257,0.371,0.4957,0.4122,0.4155,0.2529,0.3433,CD11b
CD11b_32,81,676,665,0.3182,0.3373,0.3211,0.2226,0.3543,0.3648,CD11b
CD11b_33,80,371,616,0.3671,0.4563,0.4024,0.2496,0.273,0.2778,CD11b
CD11b_34,82,429,470,0.6237,0.4649,0.3042,0.4183,0.4032,0.6701,CD11b
CD11b_35,84,646,568,0.3566,0.535,0.3764,0.3389,0.6114,0.5414,CD11b
CD11b_36,86,255,1134,0.4422,0.4516,0.5071,0.3293,0.4377,0.4414,CD11b
CD11b_37,85,284,1195,0.3174,0.6185,0.3567,0.3505,0.336,0.3207,CD11b
CD11b_38,88,375,630,0.2627,0.3805,0.3648,0.2429,0.2543,0.4169,CD11b
CD11b_39,86,266,741,0.3636,0.4509,0.3041,0.2562,0.3738,0.5771,CD11b
CD11b_4,60,418,521,0.3096,0.3421,0.2704,0.3072,0.2843,0.2761,CD11b
CD11b_40,89,341,673,0.3555,0.5183,0.3043,0.3248,0.389,0.5356,CD11b
CD11b_41,88,573,526,0.3431,0.5357,0.406,0.3736,0.3531,0.6402,CD11b
CD11b_42,89,638,596,0.3537,0.371,0.3192,0.2599,0.2976,0.6674,CD11b
CD11b_43,96,422,418,0.3121,0.2863,0.2547,0.2811,0.2126,0.3445,CD11b
CD11b_44,86,501,349,0.3459,0.5795,0.3071,0.3841,0.3069,0.4293,CD11b
CD11b_45,87,136,1192,0.4099,0.5532,0.375,0.3543,0.3373,0.5372,CD11b
CD11b_46,88,158,776,0.3282,0.4607,0.3672,0.3142,0.3068,0.4837,CD11b
CD11b_47,87,209,751,0.4027,0.4871,0.4648,0.3574,0.4112,0.3391,CD11b
CD11b_48,93,667,234,0.3301,0.4083,0.2827,0.2707,0.3018,0.3207,CD11b
CD11b_49,88,399,728,0.3581,0.4863,0.271,0.3979,0.3895,0.3476,CD11b
CD11b_5,59,109,864,0.3351,0.3027,0.2854,0.2497,0.268,0.4277,CD11b
CD11b_50,89,614,622,0.3844,0.419,0.326,0.3059,0.3685,0.6854,CD11b
CD11b_51,96,499,347,0.2448,0.3731,0.2957,0.2747,0.267,0.3375,CD11b
CD11b_52,91,656,383,0.3489,0.4019,0.3544,0.3897,0.339,0.3316,CD11b
CD11b_53,91,336,672,0.3722,0.5375,0.3885,0.2942,0.401,0.4839,CD11b
CD11b_54,93,337,677,0.3256,0.4688,0.3226,0.3279,0.2602,0.44,CD11b
CD11b_55,96,668,381,0.3314,0.4345,0.3086,0.2749,0.287,0.3188,CD11b
CD11b_56,96,490,258,0.3005,0.4401,0.3813,0.3994,0.3401,0.3647,CD11b
CD11b_57,109,606,182,0.2693,0.3485,0.2714,0.232,0.2502,0.3758,CD11b
CD11b_58,96,310,694,0.3633,0.603,0.4541,0.4912,0.3676,0.4617,CD11b
CD11b_59,97,453,419,0.4179,0.5061,0.3087,0.4015,0.4082,0.5983,CD11b
CD11b_6,70,413,503,0.3044,0.3047,0.2591,0.2262,0.236,0.2228,CD11b
CD11b_60,99,209,949,0.4813,0.4993,0.3515,0.3075,0.282,0.321,CD11b
CD11b_61,106,569,49,0.3259,0.4946,0.3882,0.2552,0.2899,0.4705,CD11b
CD11b_62,103,576,178,0.3512,0.4191,0.4254,0.3212,0.3426,0.428,CD11b
CD11b_63,108,650,174,0.3555,0.3636,0.3492,0.1886,0.3135,0.5421,CD11b
CD11b_64,104,659,499,0.4304,0.5161,0.4056,0.3359,0.3219,0.9113,CD11b
CD11b_65,103,496,131,0.3296,0.4632,0.3391,0.3461,0.2342,0.6965,CD11b
CD11b_66,106,637,615,0.3558,0.4376,0.3494,0.3093,0.5144,0.3394,CD11b
CD11b_67,114,665,498,0.3303,0.5238,0.3848,0.2905,0.2895,0.4139,CD11b
CD11b_68,111,460,409,0.3223,0.4746,0.4003,0.4194,0.2962,0.5615,CD11b
CD11b_69,113,425,418,0.3135,0.472,0.3378,0.4413,0.2739,0.4353,CD11b
CD11b_7,57,225,646,0.3499,0.4161,0.4259,0.3774,0.328,0.4446,CD11b
CD11b_70,130,272,1081,0.2696,0.3738,0.3277,0.2903,0.2695,0.2888,CD11b
CD11b_71,128,313,1144,0.3767,0.5017,0.3295,0.3602,0.2874,0.3418,CD11b
CD11b_72,130,529,353,0.3656,0.4534,0.3229,0.4258,0.3362,0.4929,CD11b
CD11b_73,143,526,356,0.2333,0.3674,0.2941,0.2975,0.2985,0.4583,CD11b
CD11b_74,144,242,1065,0.3198,0.3529,0.5854,0.2554,0.4967,0.2687,CD11b
CD11b_8,69,415,491,0.2585,0.3048,0.2751,0.2679,0.2746,0.2193,CD11b
CD11b_9,62,441,243,0.3116,0.4406,0.3773,0.3724,0.2886,0.595,CD11b
CD11c_1,57,152,565,0.3174,0.382,0.3285,0.3074,0.5598,0.9982,CD11c
CD11c_10,71,321,993,0.5262,1.0,0.2521,0.2503,0.2563,0.2751,CD11c
CD11c_11,72,171,870,0.3754,0.3225,0.2375,0.2318,0.3373,0.343,CD11c
CD11c_12,68,202,1293,0.3769,0.5075,0.3739,0.3115,0.4783,0.5194,CD11c
CD11c_13,69,371,447,0.4174,0.4749,0.2941,0.3599,0.5825,0.4298,CD11c
CD11c_14,79,385,610,0.3417,0.3634,0.1886,0.3339,0.4123,0.4338,CD11c
CD11c_15,72,409,882,0.3352,0.419,0.2807,0.2655,0.3054,0.449,CD11c
CD11c_16,69,195,793,0.4748,0.5549,0.3364,0.2859,0.5587,0.3387,CD11c
CD11c_17,72,420,377,0.431,0.4282,0.2621,0.2981,0.5948,0.3589,CD11c
CD11c_18,81,275,1088,0.2325,0.3058,0.2992,0.221,0.3065,0.2751,CD11c
CD11c_19,78,487,240,0.3463,0.4114,0.2949,0.3842,0.4707,0.3556,CD11c
CD11c_2,60,156,764,0.4195,0.5571,0.3031,0.2844,0.5719,0.5259,CD11c
CD11c_20,84,343,761,0.3706,0.4469,0.3416,0.3608,0.5221,0.3937,CD11c
CD11c_21,81,411,877,0.47,0.4927,0.2614,0.3048,0.407,0.4365,CD11c
CD11c_22,84,348,741,0.3788,0.3716,0.3436,0.3091,0.3454,0.4929,CD11c
CD11c_23,87,407,464,0.4182,0.5534,0.2463,0.316,0.4935,0.3999,CD11c
CD11c_24,95,578,287,0.2633,0.4318,0.2156,0.3005,0.2862,0.3116,CD11c
CD11c_25,93,677,574,0.3663,0.5316,0.3054,0.356,0.4529,0.4687,CD11c
CD11c_26,95,451,355,0.321,0.5401,0.4412,0.1855,0.5975,0.3409,CD11c
CD11c_27,115,398,248,0.358,0.3474,0.2728,0.1966,0.4305,0.3357,CD11c
CD11c_28,159,78,782,0.2686,0.2683,0.2631,0.2435,0.583,0.5088,CD11c
CD11c_29,149,242,1065,0.4461,0.9029,0.5595,0.4968,0.6035,0.5967,CD11c
CD11c_3,63,64,1273,0.3399,0.3622,0.3013,0.3154,0.3535,0.3766,CD11c
CD11c_30,155,511,149,0.3754,0.3622,0.3015,0.2902,0.3214,0.42,CD11c
CD11c_4,62,488,202,0.3871,0.507,0.3148,0.379,0.36,0.3885,CD11c
CD11c_5,64,65,1309,0.4101,0.4871,0.3038,0.4173,0.4314,0.5665,CD11c
CD11c_6,66,69,1238,0.3283,0.3367,0.2495,0.2306,0.4789,0.4819,CD11c
CD11c_7,65,71,1326,0.4129,0.5374,0.2554,0.4561,0.307,0.4916,CD11c
CD11c_8,67,89,1235,0.2188,0.379,0.2592,0.2104,0.3849,0.3608,CD11c
CD11c_9,66,410,339,0.3479,0.4863,0.2769,0.3208,0.2761,0.3846,CD11c
CD20_1,28,554,324,0.0,0.9422,0.0,0.3833,0.0,0.0,CD20
CD20_10,62,642,52,0.4156,0.3533,0.2634,0.3354,0.3444,0.369,CD20
CD20_100,78,321,754,0.3471,0.4945,0.2884,0.4821,0.3173,0.44,CD20
CD20_101,79,370,632,0.346,0.5365,0.3237,0.3543,0.2777,0.443,CD20
CD20_102,89,177,1181,0.2212,0.294,0.1949,0.23,0.2771,0.2905,CD20
CD20_103,86,205,1148,0.2511,0.3705,0.1626,0.2964,0.3413,0.3639,CD20
CD20_104,82,210,1243,0.3931,0.4658,0.293,0.4144,0.3063,0.3843,CD20
CD20_105,81,213,1166,0.3931,0.5023,0.3341,0.4929,0.3327,0.501,CD20
CD20_106,82,219,888,0.3169,0.4223,0.244,0.3196,0.2974,0.358,CD20
CD20_107,88,242,1036,0.3103,0.2904,0.2311,0.283,0.37,0.3555,CD20
CD20_108,86,397,751,0.3267,0.3651,0.2429,0.2944,0.3093,0.7478,CD20
CD20_109,81,408,560,0.3109,0.352,0.3736,0.3518,0.4519,0.4616,CD20
CD20_11,65,113,1333,0.556,0.4794,0.3223,0.3398,0.3083,0.3791,CD20
CD20_110,82,508,640,0.3264,0.4474,0.2088,0.3297,0.3625,0.3002,CD20
CD20_111,97,593,155,0.3936,0.3384,0.1712,0.2594,0.2446,0.4588,CD20
CD20_112,82,678,419,0.3608,0.4502,0.35,0.4286,0.4437,0.6508,CD20
CD20_113,100,679,36,0.2561,0.371,0.1642,0.2575,0.2538,0.3231,CD20
CD20_114,81,685,425,0.5255,0.5035,0.0,0.337,0.0,0.3651,CD20
CD20_115,82,133,1128,0.2865,0.4071,0.3896,0.2929,0.4417,0.5087,CD20
CD20_116,82,181,1253,0.3148,0.5392,0.266,0.3014,0.4152,0.4264,CD20
CD20_117,87,276,707,0.5155,0.4036,0.2659,0.286,0.2606,0.4947,CD20
CD20_118,88,317,1006,0.3178,0.329,0.2497,0.2698,0.2785,0.2439,CD20
CD20_119,83,325,631,0.336,0.425,0.2893,0.379,0.2929,0.4253,CD20
CD20_12,63,327,1134,0.3865,0.5399,0.3072,0.4132,0.4412,0.3886,CD20
CD20_120,87,408,445,0.2667,0.3474,0.2189,0.2576,0.3296,0.4039,CD20
CD20_121,85,436,453,0.4545,0.5285,0.2209,0.3187,0.3631,0.4246,CD20
CD20_122,89,561,224,0.3845,0.4394,0.2553,0.305,0.3157,0.3529,CD20
CD20_123,82,588,20,0.3657,0.4261,0.3754,0.3337,0.3889,0.454,CD20
CD20_124,81,83,1303,0.3661,0.4213,0.2043,0.3213,0.3186,0.3919,CD20
CD20_125,82,87,1214,0.259,0.4875,0.2708,0.4103,0.4881,0.3417,CD20
CD20_126,85,156,1033,0.266,0.3669,0.2914,0.3245,0.2995,0.3796,CD20
CD20_127,83,172,1104,0.3614,0.4948,0.2561,0.3014,0.3081,0.6442,CD20
CD20_128,85,173,1248,0.3763,0.4803,0.271,0.3141,0.2912,0.3727,CD20
CD20_129,84,286,1029,0.3647,0.4406,0.2585,0.3713,0.3193,0.3512,CD20
CD20_13,64,140,1109,0.3754,0.3995,0.2509,0.3504,0.2857,0.6723,CD20
CD20_130,84,142,1043,0.3705,0.5738,0.2632,0.4691,0.2829,0.403,CD20
CD20_131,83,236,1143,0.3794,0.5039,0.3179,0.4266,0.3355,0.6841,CD20
CD20_132,94,589,289,0.3385,0.3591,0.1888,0.2303,0.3483,0.4067,CD20
CD20_133,83,254,1096,0.357,0.4483,0.3855,0.4084,0.4869,0.3128,CD20
CD20_134,86,267,798,0.3676,0.4006,0.4485,0.2938,0.431,0.358,CD20
CD20_135,97,525,377,0.3858,0.3672,0.2505,0.2609,0.2821,0.4277,CD20
CD20_136,86,603,281,0.3733,0.4119,0.3453,0.2892,0.459,0.5014,CD20
CD20_137,83,674,373,0.311,0.3128,0.2488,0.3367,0.3435,0.3347,CD20
CD20_138,90,127,1212,0.2641,0.3903,0.2736,0.2704,0.2648,0.2898,CD20
CD20_139,86,130,1116,0.4373,0.465,0.2367,0.3373,0.3351,0.3174,CD20
CD20_14,66,148,1327,0.283,0.4931,0.2621,0.3406,0.3137,0.4403,CD20
CD20_140,86,130,1132,0.2962,0.5458,0.3064,0.2733,0.3475,0.3125,CD20
CD20_141,91,139,1230,0.3035,0.3237,0.2603,0.2745,0.2993,0.3127,CD20
CD20_142,85,151,1221,0.393,0.4832,0.3253,0.3696,0.312,0.3614,CD20
CD20_143,86,154,1327,0.372,0.5173,0.2482,0.3285,0.3129,0.3654,CD20
CD20_144,85,157,1072,0.4174,0.3815,0.3028,0.3383,0.3957,0.5724,CD20
CD20_145,90,198,1009,0.2549,0.4053,0.23,0.2543,0.284,0.3359,CD20
CD20_146,84,229,920,0.4266,0.4589,0.4328,0.3626,0.2881,0.6066,CD20
CD20_147,86,237,897,0.4032,0.3966,0.2991,0.4289,0.3557,0.5548,CD20
CD20_148,85,298,1017,0.3555,0.3743,0.373,0.3628,0.3429,0.3672,CD20
CD20_149,90,347,766,0.373,0.3612,0.2486,0.3659,0.4388,0.3073,CD20
CD20_15,62,268,1125,0.4887,0.494,0.2664,0.2549,0.3363,0.4258,CD20
CD20_150,86,643,554,0.4357,0.4807,0.3254,0.3523,0.343,0.4819,CD20
CD20_151,84,670,50,0.3317,0.4909,0.2796,0.3595,0.3905,0.39,CD20
CD20_152,85,57,1298,0.366,0.4735,0.2886,0.3986,0.4304,0.5042,CD20
CD20_153,85,142,1022,0.3182,0.3858,0.2323,0.4188,0.2858,0.5276,CD20
CD20_154,85,168,1330,0.3644,0.4432,0.2879,0.3747,0.3526,0.3848,CD20
CD20_155,92,192,955,0.346,0.3883,0.3627,0.3702,0.408,0.3186,CD20
CD20_156,86,196,1159,0.2783,0.4792,0.2489,0.3546,0.3782,0.3414,CD20
CD20_157,92,209,1032,0.2908,0.2816,0.2044,0.2331,0.2964,0.2996,CD20
CD20_158,87,221,1023,0.3115,0.4702,0.2869,0.4089,0.2935,0.3882,CD20
CD20_159,86,231,1220,0.3398,0.4821,0.3445,0.395,0.3785,0.6167,CD20
CD20_16,71,642,59,0.243,0.3296,0.2026,0.2654,0.2792,0.3402,CD20
CD20_160,88,261,738,0.3056,0.502,0.3239,0.3894,0.336,0.3231,CD20
CD20_161,85,261,812,0.3689,0.4711,0.3093,0.3524,0.2612,0.4293,CD20
CD20_162,90,338,755,0.2316,0.4093,0.2247,0.2518,0.3276,0.2559,CD20
CD20_163,86,390,535,0.376,0.3985,0.2781,0.3648,0.4456,0.3159,CD20
CD20_164,85,511,638,0.347,0.3421,0.2429,0.4599,0.3232,0.3197,CD20
CD20_165,91,543,317,0.4438,0.5487,0.3167,0.2773,0.3964,0.5133,CD20
CD20_166,102,564,237,0.3962,0.3948,0.165,0.2183,0.2543,0.2455,CD20
CD20_167,86,580,92,0.4356,0.4376,0.3252,0.24,0.4129,0.3629,CD20
CD20_168,85,589,18,0.4552,0.5028,0.2983,0.3665,0.3254,0.5322,CD20
CD20_169,86,667,56,0.3362,0.4386,0.288,0.4024,0.4027,0.3892,CD20
CD20_17,80,79,1306,0.3034,0.3047,0.1579,0.3153,0.2864,0.2723,CD20
CD20_170,85,676,366,0.3992,0.4216,0.2901,0.4762,0.4554,0.4439,CD20
CD20_171,93,144,1053,0.3163,0.3912,0.2483,0.3122,0.3314,0.272,CD20
CD20_172,91,183,1256,0.3229,0.4167,0.3152,0.3097,0.25,0.3274,CD20
CD20_173,88,233,1198,0.3633,0.4348,0.2842,0.2946,0.5494,0.2885,CD20
CD20_174,86,257,979,0.3826,0.3754,0.2577,0.4076,0.3179,0.4794,CD20
CD20_175,86,258,918,0.3914,0.3911,0.3896,0.345,0.352,0.4553,CD20
CD20_176,89,264,1128,0.3116,0.2765,0.2975,0.3537,0.3679,0.3158,CD20
CD20_177,89,332,759,0.395,0.4703,0.2892,0.3397,0.3133,0.4643,CD20
CD20_178,86,361,734,0.3214,0.4971,0.3222,0.4265,0.2621,0.3907,CD20
CD20_179,86,554,69,0.5071,0.4185,0.289,0.3327,0.3674,0.3425,CD20
CD20_18,75,122,1262,0.2237,0.3332,0.2514,0.2665,0.2374,0.2656,CD20
CD20_180,87,596,27,0.4388,0.4785,0.2819,0.4199,0.3538,0.3127,CD20
CD20_181,97,674,373,0.2989,0.2846,0.2302,0.2963,0.2589,0.2981,CD20
CD20_182,89,229,1208,0.2662,0.4111,0.2778,0.2631,0.3199,0.4589,CD20
CD20_183,93,253,1035,0.3164,0.3838,0.2513,0.261,0.2673,0.317,CD20
CD20_184,89,257,1050,0.3886,0.4066,0.3476,0.3175,0.3001,0.3995,CD20
CD20_185,89,339,845,0.3299,0.4409,0.338,0.4737,0.3593,0.4946,CD20
CD20_186,88,338,855,0.4164,0.6133,0.2288,0.3827,0.3279,0.4515,CD20
CD20_187,97,556,266,0.2581,0.3438,0.2047,0.2895,0.2077,0.2513,CD20
CD20_188,88,582,85,0.3892,0.3763,0.248,0.3666,0.4264,0.5253,CD20
CD20_189,87,586,322,0.4036,0.3184,0.2863,0.3366,0.4125,0.5843,CD20
CD20_19,72,263,1125,0.391,0.4619,0.2583,0.3189,0.2515,0.3167,CD20
CD20_190,88,105,1285,0.3731,0.5137,0.2946,0.4072,0.3739,0.3751,CD20
CD20_191,90,196,1207,0.3243,0.4252,0.2959,0.3871,0.3693,0.4903,CD20
CD20_192,89,223,1050,0.4001,0.4281,0.2967,0.5115,0.443,0.4106,CD20
CD20_193,89,226,1162,0.3699,0.5265,0.3361,0.3625,0.3651,0.3818,CD20
CD20_194,93,302,704,0.3061,0.5238,0.228,0.3449,0.2463,0.3207,CD20
CD20_195,94,315,774,0.2512,0.4593,0.238,0.3025,0.301,0.2816,CD20
CD20_196,99,385,749,0.2838,0.2938,0.2119,0.3012,0.2633,0.5487,CD20
CD20_197,90,407,564,0.361,0.5034,0.2938,0.3546,0.396,0.3608,CD20
CD20_198,88,557,72,0.3732,0.4566,0.2616,0.3793,0.3896,0.4276,CD20
CD20_199,90,669,356,0.4752,0.4305,0.2835,0.3507,0.4555,0.4054,CD20
CD20_2,59,114,1301,0.3167,0.3239,0.2331,0.2975,0.3119,0.2572,CD20
CD20_20,66,384,923,0.3454,0.656,0.3693,0.3324,0.3393,0.3934,CD20
CD20_200,95,220,1082,0.3403,0.3305,0.3194,0.216,0.2877,0.3537,CD20
CD20_201,89,293,763,0.4744,0.5208,0.2691,0.3191,0.3614,0.4866,CD20
CD20_202,95,472,279,0.3623,0.482,0.2508,0.331,0.3092,0.4495,CD20
CD20_203,96,564,312,0.3722,0.3674,0.2423,0.2542,0.298,0.262,CD20
CD20_204,90,637,292,0.3095,0.5174,0.3287,0.3003,0.332,0.4276,CD20
CD20_205,93,670,51,0.4236,0.4418,0.3467,0.4426,0.3256,0.3226,CD20
CD20_206,91,673,93,0.3583,0.4918,0.378,0.321,0.364,0.4975,CD20
CD20_207,89,677,366,0.495,0.5531,0.2871,0.3206,0.397,0.3411,CD20
CD20_208,90,678,458,0.3875,0.5214,0.3725,0.3129,0.3221,0.5341,CD20
CD20_209,91,109,1212,0.4013,0.5109,0.3154,0.2868,0.3067,0.35,CD20
CD20_21,78,418,543,0.3433,0.2872,0.2775,0.2719,0.3183,0.2668,CD20
CD20_210,95,212,1138,0.3593,0.4791,0.2431,0.323,0.307,0.3442,CD20
CD20_211,95,225,1048,0.3105,0.3411,0.3755,0.3541,0.3558,0.347,CD20
CD20_212,105,301,1006,0.3071,0.3637,0.1989,0.2539,0.2049,0.2635,CD20
CD20_213,90,443,587,0.355,0.4502,0.3926,0.333,0.2807,0.3137,CD20
CD20_214,96,571,158,0.372,0.4234,0.2938,0.3173,0.387,0.4026,CD20
CD20_215,91,578,133,0.3989,0.6041,0.3712,0.4581,0.448,0.4975,CD20
CD20_216,99,588,322,0.2564,0.2857,0.2226,0.2628,0.2594,0.2849,CD20
CD20_217,92,671,90,0.4621,0.4418,0.3256,0.3656,0.3552,0.5513,CD20
CD20_218,96,199,1065,0.3564,0.3785,0.2689,0.2951,0.2917,0.3905,CD20
CD20_219,92,266,791,0.3623,0.4302,0.4401,0.3431,0.3145,0.4148,CD20
CD20_22,65,568,409,0.3339,0.477,0.4392,0.2846,0.3286,0.4503,CD20
CD20_220,94,273,833,0.2836,0.4004,0.2985,0.3641,0.3682,0.4348,CD20
CD20_221,96,323,811,0.3152,0.5334,0.3204,0.3656,0.4124,0.3379,CD20
CD20_222,104,341,787,0.2597,0.2943,0.2153,0.2533,0.292,0.3498,CD20
CD20_223,95,685,425,0.3796,0.5039,0.0,0.2796,0.0,0.355,CD20
CD20_224,95,172,1246,0.3394,0.4336,0.259,0.258,0.2773,0.4331,CD20
CD20_225,92,201,864,0.4438,0.4373,0.2762,0.4189,0.2815,0.4048,CD20
CD20_226,92,238,900,0.4208,0.5052,0.3192,0.4058,0.4083,0.4243,CD20
CD20_227,94,530,384,0.3842,0.53,0.3075,0.3091,0.3926,0.4717,CD20
CD20_228,93,142,1039,0.3802,0.5051,0.3806,0.3072,0.4193,0.2983,CD20
CD20_229,98,203,972,0.3324,0.3038,0.1877,0.2817,0.2517,0.3546,CD20
CD20_23,66,663,39,0.3356,0.3843,0.4792,0.3975,1.0,0.5751,CD20
CD20_230,93,251,1211,0.3876,0.4229,0.2907,0.316,0.4556,0.3913,CD20
CD20_231,96,343,745,0.3788,0.4629,0.3905,0.2807,0.3287,0.6355,CD20
CD20_232,95,388,536,0.2827,0.5238,0.2914,0.2919,0.3382,0.4806,CD20
CD20_233,94,410,564,0.2932,0.4646,0.2178,0.2854,0.332,0.5817,CD20
CD20_234,98,499,321,0.3538,0.3838,0.2774,0.3475,0.2962,0.3058,CD20
CD20_235,94,506,413,0.3508,0.4392,0.3225,0.4314,0.3321,0.3987,CD20
CD20_236,98,556,361,0.3724,0.4807,0.2496,0.34,0.3131,0.438,CD20
CD20_237,104,584,149,0.2527,0.3577,0.2656,0.3391,0.2793,0.2712,CD20
CD20_238,103,660,125,0.3286,0.3507,0.1743,0.2768,0.2715,0.462,CD20
CD20_239,96,110,1229,0.3781,0.4392,0.29,0.3056,0.2873,0.3831,CD20
CD20_24,67,56,1302,0.3715,0.4374,0.2375,0.3213,0.3435,0.4607,CD20
CD20_240,94,113,1215,0.4357,0.4465,0.2977,0.2847,0.3638,0.3027,CD20
CD20_241,96,137,1088,0.2973,0.5067,0.3318,0.3826,0.3424,0.3934,CD20
CD20_242,97,150,1159,0.3487,0.5408,0.3595,0.4174,0.4389,0.3052,CD20
CD20_243,99,151,1327,0.3294,0.2703,0.2432,0.2494,0.2857,0.2896,CD20
CD20_244,96,180,1090,0.2426,0.4102,0.2819,0.348,0.3381,0.3146,CD20
CD20_245,96,268,822,0.3142,0.4374,0.3876,0.3546,0.3974,0.6919,CD20
CD20_246,96,292,763,0.3367,0.5722,0.3613,0.2806,0.2986,0.4261,CD20
CD20_247,96,299,1015,0.4122,0.3745,0.336,0.421,0.3499,0.5302,CD20
CD20_248,101,580,161,0.2939,0.4133,0.3229,0.2975,0.2654,0.3362,CD20
CD20_249,95,582,91,0.3408,0.5025,0.3053,0.3014,0.3574,0.632,CD20
CD20_25,73,138,1232,0.361,0.3841,0.2298,0.324,0.2655,0.4044,CD20
CD20_250,94,586,329,0.3443,0.4866,0.2887,0.2708,0.4132,0.6285,CD20
CD20_251,96,108,1261,0.2768,0.4318,0.3154,0.3887,0.3812,0.3049,CD20
CD20_252,97,171,1102,0.3631,0.4718,0.2422,0.4432,0.2915,0.5222,CD20
CD20_253,99,213,1183,0.2607,0.3541,0.2561,0.3193,0.2914,0.4659,CD20
CD20_254,98,256,1210,0.3698,0.5182,0.3269,0.2951,0.4071,0.3825,CD20
CD20_255,95,263,760,0.3481,0.6166,0.321,0.3787,0.3393,0.4882,CD20
CD20_256,98,303,1012,0.2973,0.4572,0.4808,0.3751,0.2987,0.5247,CD20
CD20_257,96,504,641,0.4442,0.4415,0.3946,0.3455,0.3344,0.6369,CD20
CD20_258,98,505,254,0.3583,0.4347,0.2965,0.3134,0.3123,0.4512,CD20
CD20_259,101,563,290,0.2876,0.3772,0.2254,0.2305,0.2271,0.2592,CD20
CD20_26,70,141,1021,0.2911,0.4222,0.2082,0.3432,0.2787,0.2703,CD20
CD20_260,101,585,172,0.3282,0.4169,0.2681,0.3553,0.2746,0.2553,CD20
CD20_261,103,611,63,0.2665,0.3468,0.1871,0.2387,0.2551,0.2743,CD20
CD20_262,100,651,109,0.3521,0.3633,0.2267,0.2591,0.3461,0.299,CD20
CD20_263,96,147,1001,0.4156,0.467,0.2652,0.3985,0.3376,0.3425,CD20
CD20_264,99,151,1072,0.2945,0.3873,0.2512,0.2253,0.3176,0.2786,CD20
CD20_265,96,435,362,0.3431,0.4255,0.3423,0.3502,0.395,0.3849,CD20
CD20_266,96,474,275,0.3465,0.4823,0.3151,0.2788,0.3594,0.3422,CD20
CD20_267,97,492,324,0.4054,0.4367,0.3301,0.3079,0.3067,0.5565,CD20
CD20_268,98,229,1120,0.4182,0.4912,0.3512,0.523,0.4437,0.4653,CD20
CD20_269,97,261,1114,0.3544,0.5186,0.28,0.3589,0.3439,0.6025,CD20
CD20_27,79,182,1231,0.2822,0.2322,0.2088,0.2776,0.2805,0.2688,CD20
CD20_270,100,264,1126,0.3003,0.4833,0.3121,0.375,0.3414,0.5157,CD20
CD20_271,98,275,809,0.3394,0.4561,0.2913,0.2633,0.3798,0.5366,CD20
CD20_272,97,368,632,0.4003,0.4883,0.2963,0.4013,0.3589,0.447,CD20
CD20_273,103,386,596,0.2795,0.3548,0.2362,0.2767,0.3311,0.4883,CD20
CD20_274,100,558,284,0.3888,0.4564,0.2685,0.3829,0.3725,0.6479,CD20
CD20_275,100,577,190,0.4792,0.6393,0.3061,0.4164,0.403,0.4533,CD20
CD20_276,98,684,380,0.3367,0.4898,0.0,0.3299,0.0,0.4062,CD20
