area_id,marker,area_size,radius,z,y,x,CD31_intensity,CD20_intensity,CD11b_intensity,CD4_intensity,CD11c_intensity,Catalase_intensity
104,CD31,12,3,94,427,471,0.3401,0.3043,0.2892,0.2429,0.2637,0.2716
105,CD31,12,3,94,546,333,0.4867,0.2697,0.339,0.3108,0.2889,0.2494
106,CD31,24,3,96,143,1319,0.3827,0.3431,0.379,0.2513,0.4007,0.2768
107,CD31,52,3,98,480,267,0.3243,0.2734,0.2943,0.3112,0.2632,0.3161
108,CD31,77,4,100,481,273,0.3362,0.2962,0.2386,0.29,0.2454,0.2882
109,CD31,30,3,96,594,89,0.2942,0.3837,0.2786,0.3445,0.2702,0.309
110,CD31,277,6,102,648,155,0.2961,0.2322,0.1905,0.158,0.2451,0.2184
111,CD31,116,4,101,352,761,0.3436,0.3024,0.2585,0.2635,0.3403,0.2641
112,CD31,32,3,96,546,144,0.3926,0.2469,1.0,0.2705,0.3611,0.3181
113,CD31,49,3,99,649,126,0.4155,0.3835,0.3563,0.3998,0.2439,0.3016
114,CD31,16,3,97,307,1033,0.3453,0.3111,0.3167,0.2747,0.2655,0.2318
115,CD31,22,3,97,353,841,0.2938,0.2714,0.2734,0.2557,0.2549,0.3585
116,CD31,254,6,104,138,1332,0.2604,0.2566,0.1943,0.208,0.2552,0.321
117,CD31,112,4,102,657,177,0.2686,0.2623,0.3257,0.209,0.3285,0.3515
118,CD31,51,3,102,567,274,0.3028,0.309,0.3448,0.4004,0.4442,0.2705
119,CD31,196,5,107,316,1018,0.2755,0.2869,0.3006,0.1849,0.2271,0.1867
120,CD31,190,5,108,610,179,0.2414,0.2907,0.2659,0.2935,0.2464,0.3158
121,CD31,68,4,107,312,655,0.4279,0.3189,0.263,0.2058,0.2961,0.2438
122,CD31,12,3,104,312,1021,0.4116,0.2515,0.3603,0.2923,0.3878,0.2484
123,CD31,16,3,105,128,1333,0.2888,0.3461,0.2847,0.2559,0.2536,0.2072
124,CD31,92,4,110,324,742,0.2721,0.2934,0.3238,0.2997,0.2163,0.2318
125,CD31,16,3,107,137,1248,0.3289,0.3193,0.2924,0.2843,0.3206,0.2127
126,CD31,66,4,112,428,426,0.2818,0.3159,0.3047,0.2291,0.2884,0.1766
127,CD31,8,3,111,549,342,0.2945,0.291,0.3082,0.2874,0.2762,0.3405
128,CD31,753,9,127,523,359,0.2361,0.2207,0.2384,0.1616,0.1992,0.2672
129,CD31,8,3,114,599,71,0.3468,0.321,0.35,0.3569,0.2479,0.3106
130,CD31,16,3,116,103,1320,0.3178,0.2827,0.4274,0.3207,0.2355,0.3118
131,CD31,26,3,117,226,1307,0.3492,0.3331,0.4024,0.2808,0.2608,0.2719
132,CD31,46,3,117,324,772,0.3653,0.3172,0.2934,0.2983,0.2798,0.2016
133,CD31,16,3,118,294,1063,0.359,0.3361,0.2744,0.2549,0.2751,0.3637
134,CD31,44,3,127,133,1336,0.3434,0.3038,0.3243,0.2684,0.2969,0.2597
135,CD31,8,3,126,294,747,0.2942,0.2474,0.2898,0.2717,0.3024,0.2848
136,CD31,16,3,128,277,822,0.2978,0.2848,0.3368,0.2387,0.2268,0.3056
137,CD31,69,4,134,501,358,0.2701,0.2719,0.2276,0.289,0.3093,0.2556
138,CD31,70,4,140,527,363,0.2744,0.2827,0.3305,0.2779,0.2385,0.3686
139,CD31,46,3,136,677,415,0.401,0.2802,0.3997,0.3152,0.3691,0.272
140,CD31,16,3,137,461,605,0.3341,0.317,0.4352,0.3078,0.2552,0.2223
141,CD31,20,3,137,611,157,0.3542,0.3217,0.3067,0.2272,0.3766,0.2281
142,CD31,16,3,149,432,425,0.2453,0.3012,0.2831,0.2427,0.2941,0.2408
1,CD20,28,3,28,554,324,0.0,0.624,0.0,0.3203,0.0,0.0
2,CD20,530,8,59,114,1301,0.2575,0.2145,0.2331,0.2486,0.262,0.1731
3,CD20,135,5,56,229,1320,0.2263,0.3016,0.2799,0.2103,0.2163,0.2153
4,CD20,129,5,55,180,1231,0.2584,0.1999,0.3062,0.2039,0.2896,0.2401
5,CD20,639,8,65,624,51,0.2209,0.1893,0.1989,0.182,0.2298,0.2955
6,CD20,12,3,56,107,1285,0.2954,0.3278,0.2831,0.4209,0.3167,0.2756
7,CD20,64,4,61,58,1300,0.3174,0.2704,0.2432,0.2977,0.278,0.2195
8,CD20,22,3,61,118,1276,0.3284,0.3028,0.3507,0.3017,0.2447,0.2437
9,CD20,61,3,64,323,970,0.3428,0.3474,0.3078,0.2264,0.3443,0.1763
10,CD20,28,3,62,642,52,0.338,0.234,0.2634,0.2803,0.2893,0.2483
11,CD20,48,3,65,113,1333,0.4521,0.3175,0.3223,0.284,0.259,0.2551
12,CD20,26,3,63,327,1134,0.3143,0.3576,0.3072,0.3453,0.3706,0.2615
13,CD20,30,3,64,140,1109,0.3053,0.2646,0.2509,0.2928,0.24,0.4524
14,CD20,73,4,66,148,1327,0.2301,0.3266,0.2621,0.2846,0.2635,0.2963
15,CD20,8,3,62,268,1125,0.3974,0.3272,0.2664,0.213,0.2825,0.2865
16,CD20,549,8,71,642,59,0.1976,0.2183,0.2026,0.2218,0.2345,0.2289
17,CD20,588,8,80,79,1306,0.2467,0.2018,0.1579,0.2635,0.2406,0.1832
18,CD20,497,7,75,122,1262,0.1819,0.2207,0.2514,0.2227,0.1994,0.1787
19,CD20,301,6,72,263,1125,0.318,0.3059,0.2583,0.2665,0.2113,0.2131
20,CD20,15,3,66,384,923,0.2809,0.4345,0.3693,0.2778,0.285,0.2647
21,CD20,256,6,78,418,543,0.2792,0.1902,0.2775,0.2272,0.2674,0.1795
22,CD20,12,3,65,568,409,0.2715,0.3159,0.4392,0.2378,0.276,0.303
23,CD20,37,3,66,663,39,0.2729,0.2545,0.4792,0.3322,0.84,0.387
24,CD20,20,3,67,56,1302,0.3021,0.2897,0.2375,0.2685,0.2885,0.31
25,CD20,177,5,73,138,1232,0.2936,0.2544,0.2298,0.2708,0.223,0.2721
26,CD20,103,4,70,141,1021,0.2367,0.2796,0.2082,0.2868,0.2341,0.1819
27,CD20,795,9,79,182,1231,0.2295,0.1538,0.2088,0.232,0.2356,0.1809
28,CD20,116,4,71,391,999,0.25,0.272,0.2069,0.31,0.3635,0.2206
29,CD20,30,3,69,133,1174,0.253,0.2817,0.4011,0.2618,0.3151,0.2983
30,CD20,16,3,67,194,1207,0.2978,0.4405,0.3173,0.3501,0.3674,0.3116
31,CD20,24,3,69,115,1275,0.2643,0.3593,0.2952,0.3642,0.2447,0.2603
32,CD20,99,4,73,199,748,0.2576,0.2903,0.1889,0.2565,0.2444,0.2002
33,CD20,529,8,77,200,1201,0.2477,0.2319,0.2428,0.2416,0.2827,0.2127
34,CD20,246,6,75,216,1351,0.2368,0.1953,0.2361,0.2114,0.2256,0.3838
35,CD20,12,3,69,245,676,0.3638,0.3197,0.3289,0.2694,0.2587,0.3038
36,CD20,119,4,73,199,1299,0.2686,0.2584,0.3022,0.3271,0.4306,0.2212
37,CD20,16,3,69,310,649,0.3408,0.2669,0.2133,0.2692,0.3303,0.2708
38,CD20,86,4,73,70,1227,0.3164,0.2967,0.2187,0.2992,0.2598,0.2098
39,CD20,166,5,77,173,1036,0.2269,0.2446,0.2808,0.2881,0.2692,0.2187
40,CD20,78,4,75,194,1204,0.2619,0.2436,0.2984,0.2828,0.2889,0.227
41,CD20,428,7,85,287,788,0.2242,0.2397,0.2331,0.2589,0.245,0.3153
42,CD20,12,3,70,416,547,0.347,0.3003,0.2995,0.2145,0.2976,0.2138
43,CD20,74,4,76,617,345,0.2955,0.3656,0.2187,0.4,0.2612,0.295
44,CD20,24,3,73,94,1244,0.3636,0.2779,0.3567,0.3007,0.274,0.198
45,CD20,275,6,80,142,1109,0.2116,0.2208,0.2156,0.2082,0.2272,0.2009
46,CD20,71,4,74,153,1247,0.8132,0.321,0.2735,0.2519,0.368,0.2464
47,CD20,26,3,73,161,1259,0.3307,0.3231,0.3297,0.2689,0.2923,0.339
48,CD20,28,3,72,288,1029,0.32,0.2979,0.2318,0.2806,0.4245,0.307
49,CD20,28,3,73,112,1334,0.3002,0.3381,0.24,0.2829,0.2575,0.2359
50,CD20,80,4,76,136,1092,0.2609,0.2259,0.245,0.2545,0.1879,0.3327
51,CD20,20,3,73,157,1035,0.2994,0.2919,0.262,0.3357,0.58,0.3248
52,CD20,88,4,77,163,1288,0.313,0.2569,0.3228,0.2572,0.3022,0.5094
53,CD20,254,6,79,171,1099,0.2311,0.2397,0.263,0.2155,0.2258,0.2779
54,CD20,54,3,75,211,1252,0.3263,0.3508,0.3271,0.3104,0.3085,0.3113
55,CD20,48,3,74,312,638,0.3173,0.2899,0.2956,0.291,0.2737,0.2405
56,CD20,8,3,72,324,611,0.2706,0.2547,0.313,0.3249,0.2992,0.2909
57,CD20,51,3,75,425,542,0.3871,0.3203,0.3712,0.3311,0.4556,0.3598
58,CD20,24,3,75,686,72,0.0,0.3471,0.0,0.4635,0.0,0.553
59,CD20,54,3,75,70,1233,0.3319,0.3376,0.2267,0.2809,0.2726,0.2221
60,CD20,16,3,75,115,1339,0.5864,0.302,0.3572,0.3027,0.2651,0.2479
61,CD20,46,3,76,290,651,0.4357,0.368,0.2477,0.3108,0.3534,0.2594
62,CD20,18,3,74,348,925,0.3126,0.3007,0.2333,0.2955,0.315,0.4568
63,CD20,50,3,75,389,611,0.3953,0.3363,0.322,0.3976,0.5192,0.2773
64,CD20,654,8,87,665,41,0.2173,0.2335,0.2129,0.2141,0.2312,0.2642
65,CD20,301,6,82,131,1177,0.2793,0.2273,0.2514,0.2592,0.2028,0.3086
66,CD20,221,6,82,133,1106,0.2411,0.2507,0.24,0.1755,0.2289,0.2153
67,CD20,24,3,75,165,1328,0.3301,0.3559,0.2767,0.3044,0.2518,0.2234
68,CD20,332,6,88,170,1228,0.2805,0.215,0.2005,0.2376,0.2144,0.2314
69,CD20,124,4,81,300,707,0.246,0.2796,0.2631,0.2616,0.3052,0.2593
70,CD20,30,3,76,431,334,0.4261,0.2817,0.2786,0.3048,0.2937,0.1926
71,CD20,96,4,78,673,460,0.295,0.296,0.2916,0.2738,0.2351,0.2935
72,CD20,80,4,79,176,994,0.294,0.2525,0.2786,0.2917,0.2538,0.1662
73,CD20,520,8,90,258,1104,0.2149,0.2241,0.1979,0.2275,0.2304,0.3595
74,CD20,30,3,77,440,455,0.4318,0.3323,0.3026,0.225,0.234,0.2942
75,CD20,54,3,77,672,75,0.3115,0.3617,0.2265,0.4327,0.2683,0.1803
76,CD20,16,3,76,675,62,0.3928,0.3758,0.3732,0.3898,0.3493,0.3426
77,CD20,193,5,82,118,1277,0.2048,0.2325,0.1881,0.2248,0.2361,0.2109
78,CD20,8,3,76,170,1246,0.3483,0.2772,0.3015,0.4325,0.2438,0.3509
79,CD20,16,3,76,213,1180,0.3891,0.2886,0.318,0.3191,0.3083,0.283
80,CD20,24,3,77,215,1333,0.3651,0.2432,0.3405,0.2379,0.2407,0.211
81,CD20,131,5,80,269,817,0.2171,0.3134,0.2554,0.3008,0.2141,0.244
82,CD20,397,7,89,275,777,0.2351,0.2773,0.2494,0.1966,0.196,0.1883
83,CD20,84,4,79,280,1101,0.3369,0.2792,0.4074,0.1918,0.2816,0.2962
84,CD20,8,3,76,322,759,0.3535,0.3279,0.2976,0.3199,0.2792,0.3379
85,CD20,331,6,86,323,756,0.2384,0.1851,0.1868,0.2751,0.2816,0.212
86,CD20,45,3,78,405,444,0.309,0.2423,0.2913,0.2821,0.2723,0.5231
87,CD20,252,6,84,441,319,0.2537,0.232,0.2419,0.207,0.2571,0.2003
88,CD20,42,3,78,647,56,0.2474,0.313,0.2804,0.2652,0.2042,0.299
89,CD20,1359,11,111,675,50,0.2164,0.1576,0.1619,0.182,0.1965,0.2407
90,CD20,99,4,82,155,1251,0.3008,0.2675,0.3346,0.2185,0.2358,0.2809
91,CD20,12,3,77,260,1142,0.315,0.3584,0.294,0.3375,0.3698,0.3415
92,CD20,42,3,79,323,614,0.2866,0.3335,0.2958,0.2856,0.2324,0.2354
93,CD20,24,3,80,337,755,0.3282,0.3318,0.3002,0.3953,0.253,0.2421
94,CD20,257,6,86,404,523,0.2158,0.199,0.2095,0.2417,0.2038,0.2166
95,CD20,291,6,86,435,676,0.2282,0.2138,0.2436,0.2706,0.2309,0.3315
96,CD20,12,3,78,513,637,0.2434,0.2541,0.3004,0.2946,0.3322,0.283
97,CD20,77,4,80,634,59,0.3514,0.2612,0.2145,0.2496,0.2078,0.2473
98,CD20,8,3,78,83,1300,0.2998,0.3322,0.2461,0.2809,0.2504,0.224
99,CD20,20,3,80,181,1258,0.2821,0.3359,0.2922,0.2783,0.3571,0.2696
100,CD20,8,3,78,321,754,0.2823,0.3275,0.2884,0.4029,0.2665,0.2961
101,CD20,8,3,79,370,632,0.2814,0.3553,0.3237,0.2961,0.2333,0.2981
102,CD20,337,6,89,177,1181,0.1799,0.1947,0.1949,0.1922,0.2328,0.1955
103,CD20,284,6,86,205,1148,0.2042,0.2454,0.1626,0.2477,0.2867,0.2449
104,CD20,39,3,82,210,1243,0.3197,0.3085,0.293,0.3463,0.2573,0.2586
105,CD20,36,3,81,213,1166,0.3197,0.3327,0.3341,0.4119,0.2795,0.3371
106,CD20,70,4,82,219,888,0.2577,0.2797,0.244,0.2671,0.2498,0.2409
107,CD20,288,6,88,242,1036,0.2523,0.1923,0.2311,0.2365,0.3108,0.2392
108,CD20,210,5,86,397,751,0.2657,0.2418,0.2429,0.246,0.2598,0.5032
109,CD20,44,3,81,408,560,0.2528,0.2331,0.3736,0.294,0.3796,0.3106
110,CD20,112,4,82,508,640,0.2654,0.2963,0.2088,0.2755,0.3045,0.202
111,CD20,1057,10,97,593,155,0.3201,0.2241,0.1712,0.2168,0.2055,0.3087
112,CD20,38,3,82,678,419,0.2934,0.2982,0.35,0.3582,0.3727,0.4379
113,CD20,1165,10,100,679,36,0.2083,0.2457,0.1642,0.2152,0.2132,0.2174
114,CD20,44,3,81,685,425,0.4273,0.3335,0.0,0.2816,0.0,0.2457
115,CD20,12,3,82,133,1128,0.233,0.2696,0.3896,0.2448,0.371,0.3423
116,CD20,54,3,82,181,1253,0.256,0.3571,0.266,0.2519,0.3488,0.2869
117,CD20,158,5,87,276,707,0.4192,0.2673,0.2659,0.239,0.2189,0.3329
118,CD20,127,5,88,317,1006,0.2584,0.2179,0.2497,0.2255,0.2339,0.1641
119,CD20,35,3,83,325,631,0.2732,0.2815,0.2893,0.3167,0.246,0.2862
120,CD20,183,5,87,408,445,0.2169,0.2301,0.2189,0.2153,0.2769,0.2718
121,CD20,69,4,85,436,453,0.3696,0.35,0.2209,0.2663,0.305,0.2857
122,CD20,176,5,89,561,224,0.3127,0.291,0.2553,0.2549,0.2652,0.2375
123,CD20,22,3,82,588,20,0.2974,0.2822,0.3754,0.2789,0.3267,0.3055
124,CD20,12,3,81,83,1303,0.2977,0.279,0.2043,0.2685,0.2676,0.2637
125,CD20,23,3,82,87,1214,0.2106,0.3229,0.2708,0.3429,0.41,0.2299
126,CD20,127,5,85,156,1033,0.2163,0.243,0.2914,0.2712,0.2516,0.2554
127,CD20,36,3,83,172,1104,0.2939,0.3277,0.2561,0.2519,0.2588,0.4335
128,CD20,71,4,85,173,1248,0.306,0.3181,0.271,0.2625,0.2446,0.2508
129,CD20,101,4,84,286,1029,0.2966,0.2918,0.2585,0.3103,0.2682,0.2363
130,CD20,40,3,84,142,1043,0.3013,0.38,0.2632,0.392,0.2376,0.2712
131,CD20,25,3,83,236,1143,0.3085,0.3337,0.3179,0.3565,0.2818,0.4603
132,CD20,458,7,94,589,289,0.2753,0.2378,0.1888,0.1925,0.2926,0.2737
133,CD20,12,3,83,254,1096,0.2903,0.2969,0.3855,0.3413,0.409,0.2105
134,CD20,28,3,86,267,798,0.2989,0.2653,0.4485,0.2455,0.362,0.2409
135,CD20,424,7,97,525,377,0.3137,0.2432,0.2505,0.218,0.237,0.2878
136,CD20,79,4,86,603,281,0.3036,0.2728,0.3453,0.2417,0.3856,0.3374
137,CD20,8,3,83,674,373,0.2529,0.2072,0.2488,0.2814,0.2885,0.2252
138,CD20,179,5,90,127,1212,0.2148,0.2585,0.2736,0.226,0.2224,0.195
139,CD20,53,3,86,130,1116,0.3556,0.308,0.2367,0.2819,0.2815,0.2136
140,CD20,38,3,86,130,1132,0.2409,0.3615,0.3064,0.2284,0.2919,0.2103
141,CD20,248,6,91,139,1230,0.2468,0.2144,0.2603,0.2294,0.2514,0.2104
142,CD20,14,3,85,151,1221,0.3196,0.32,0.3253,0.3089,0.2621,0.2432
143,CD20,28,3,86,154,1327,0.3025,0.3426,0.2482,0.2745,0.2628,0.2459
144,CD20,26,3,85,157,1072,0.3394,0.2527,0.3028,0.2827,0.3324,0.3852
145,CD20,193,5,90,198,1009,0.2073,0.2684,0.23,0.2125,0.2386,0.226
146,CD20,8,3,84,229,920,0.3469,0.3039,0.4328,0.303,0.242,0.4082
147,CD20,26,3,86,237,897,0.3279,0.2627,0.2991,0.3584,0.2988,0.3733
148,CD20,28,3,85,298,1017,0.2891,0.2479,0.373,0.3032,0.288,0.2471
149,CD20,102,4,90,347,766,0.3033,0.2392,0.2486,0.3058,0.3686,0.2068
150,CD20,38,3,86,643,554,0.3543,0.3184,0.3254,0.2944,0.2881,0.3243
151,CD20,14,3,84,670,50,0.2697,0.3251,0.2796,0.3004,0.328,0.2624
152,CD20,8,3,85,57,1298,0.2976,0.3136,0.2886,0.3331,0.3615,0.3393
153,CD20,8,3,85,142,1022,0.2588,0.2555,0.2323,0.35,0.2401,0.355
154,CD20,8,3,85,168,1330,0.2963,0.2935,0.2879,0.3131,0.2962,0.2589
155,CD20,102,4,92,192,955,0.2814,0.2572,0.3627,0.3094,0.3427,0.2144
156,CD20,16,3,86,196,1159,0.2263,0.3174,0.2489,0.2963,0.3177,0.2297
157,CD20,339,6,92,209,1032,0.2365,0.1865,0.2044,0.1948,0.249,0.2016
158,CD20,20,3,87,221,1023,0.2533,0.3114,0.2869,0.3417,0.2465,0.2612
159,CD20,16,3,86,231,1220,0.2763,0.3193,0.3445,0.3301,0.3179,0.415
160,CD20,42,3,88,261,738,0.2485,0.3325,0.3239,0.3254,0.2822,0.2174
161,CD20,12,3,85,261,812,0.3,0.312,0.3093,0.2945,0.2194,0.2889
162,CD20,222,6,90,338,755,0.1883,0.2711,0.2247,0.2104,0.2752,0.1722
163,CD20,22,3,86,390,535,0.3058,0.2639,0.2781,0.3049,0.3743,0.2126
164,CD20,12,3,85,511,638,0.2822,0.2266,0.2429,0.3843,0.2715,0.2151
165,CD20,46,3,91,543,317,0.3609,0.3634,0.3167,0.2317,0.333,0.3454
166,CD20,572,8,102,564,237,0.3222,0.2615,0.165,0.1824,0.2136,0.1652
167,CD20,30,3,86,580,92,0.3542,0.2898,0.3252,0.2006,0.3468,0.2442
168,CD20,8,3,85,589,18,0.3702,0.333,0.2983,0.3063,0.2733,0.3581
169,CD20,16,3,86,667,56,0.2734,0.2905,0.288,0.3363,0.3383,0.2619
170,CD20,8,3,85,676,366,0.3246,0.2792,0.2901,0.398,0.3825,0.2987
171,CD20,188,5,93,144,1053,0.2572,0.2591,0.2483,0.2609,0.2784,0.183
172,CD20,71,4,91,183,1256,0.2626,0.276,0.3152,0.2588,0.21,0.2203
173,CD20,20,3,88,233,1198,0.2954,0.288,0.2842,0.2462,0.4615,0.1941
174,CD20,12,3,86,257,979,0.3111,0.2486,0.2577,0.3406,0.267,0.3226
175,CD20,12,3,86,258,918,0.3183,0.259,0.3896,0.2883,0.2957,0.3064
176,CD20,91,4,89,264,1128,0.2534,0.1831,0.2975,0.2956,0.309,0.2125
177,CD20,45,3,89,332,759,0.3212,0.3115,0.2892,0.2839,0.2632,0.3124
178,CD20,16,3,86,361,734,0.2614,0.3292,0.3222,0.3564,0.2202,0.2629
179,CD20,8,3,86,554,69,0.4124,0.2772,0.289,0.278,0.3086,0.2305
180,CD20,20,3,87,596,27,0.3568,0.3169,0.2819,0.3509,0.2972,0.2104
181,CD20,278,6,97,674,373,0.2431,0.1885,0.2302,0.2476,0.2175,0.2006
182,CD20,68,4,89,229,1208,0.2165,0.2723,0.2778,0.2199,0.2687,0.3088
183,CD20,130,5,93,253,1035,0.2573,0.2542,0.2513,0.2181,0.2245,0.2133
184,CD20,18,3,89,257,1050,0.316,0.2693,0.3476,0.2653,0.2521,0.2688
185,CD20,47,3,89,339,845,0.2683,0.292,0.338,0.3959,0.3018,0.3328
186,CD20,12,3,88,338,855,0.3386,0.4062,0.2288,0.3198,0.2754,0.3038
187,CD20,555,8,97,556,266,0.2099,0.2277,0.2047,0.2419,0.1745,0.1691
188,CD20,16,3,88,582,85,0.3165,0.2492,0.248,0.3064,0.3582,0.3535
189,CD20,12,3,87,586,322,0.3282,0.2109,0.2863,0.2813,0.3465,0.3932
190,CD20,8,3,88,105,1285,0.3034,0.3402,0.2946,0.3403,0.3141,0.2524
191,CD20,26,3,90,196,1207,0.2637,0.2816,0.2959,0.3235,0.3102,0.3299
192,CD20,12,3,89,223,1050,0.3254,0.2835,0.2967,0.4275,0.3721,0.2763
