roi_id,score,intensity_score,attention_score,num_nodes,num_edges,x,y,z
Oxidative stress regulation_1_Score:0.753,0.7525500059127808,0.5051000118255615,1.0,1,0,213.0,515.0,93.0
Oxidative stress regulation_2_Score:0.739,0.738999992609024,0.4779999852180481,1.0,1,0,689.0,415.0,83.0
Oxidative stress regulation_3_Score:0.738,0.7381249964237213,0.4762499928474426,1.0,1,0,108.0,573.0,103.0
Oxidative stress regulation_4_Score:0.731,0.7311750054359436,0.4623500108718872,1.0,1,0,1002.0,221.0,73.0
Oxidative stress regulation_5_Score:0.722,0.7222750037908554,0.4445500075817108,1.0,1,0,715.0,233.0,59.0
Oxidative stress regulation_6_Score:0.722,0.7217749953269958,0.4435499906539917,1.0,1,0,651.0,415.0,141.0
Oxidative stress regulation_7_Score:0.709,0.7093999981880188,0.4187999963760376,1.0,1,0,416.0,486.0,90.0
