roi_id,score,intensity_score,attention_score,num_nodes,num_edges,x,y,z
T-cell maturation_1_Score:0.661,0.6608999967575073,0.32179999351501465,1.0,1,0,820.0,286.0,88.0
T-cell maturation_2_Score:0.640,0.6403499990701675,0.2806999981403351,1.0,1,0,1250.0,203.0,101.0
T-cell maturation_3_Score:0.622,0.6221249997615814,0.24424999952316284,1.0,1,0,513.0,520.0,103.0
T-cell maturation_4_Score:0.562,0.5622749999165535,0.124549999833107,1.0,1,0,1060.0,260.0,25.0
T-cell maturation_5_Score:0.560,0.5595999993383884,0.11919999867677689,1.0,1,0,324.0,554.0,30.0
T-cell maturation_6_Score:0.422,0.42179998755455017,0.34360000491142273,0.4999999701976776,2,2,1132.0,266.0,76.0
